question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
1,Hansı hesab aktiv hesab sayılır,Vergi öhdəlikləri,Uzunmüddətli bank kreditləri,Emissiya gəliri,Nizamnamə üçün ehtiyat,Qeyri­maddi aktivlər,e
2,Mənfəətin bölüşdürülməsinin hansı istiqaməti şirkətin xüsusi kapitalını azaldır,əldə olunmuş mənfəətin istehlak fonduna yönəldilməsi,düzgün variant yoxdur,sosial sferalar fondunun artırılması,dividendlərin ödənilməsi,ehtiyyat fondunun yaradılması,d
3,Mənfəət və zərər haqqında hesabatın təhlilində istifadə olunur,"üfiqi, şaquli və trend təhlilindən","proqnoz təhlilindən, funksional dəyər təhlilindən","statistik təhlildən, evristik üsullardan",iqtisadi­ riyazi üsullardan,"müqayisə üsulundan, balans metodundan",a
4,Mənfəət və zərər haqqında hesabatın şaquli təhlilinin məqsədi,göstəricilərin artım tempinin qiymətləndirilməsi,istehsalın səmərəliliyinin qiymətləndirilməsi,müəssisənin ödəmə qabiliyyətinin qiymətləndirilməsi,ötən dövrlə müqayisədə maliyyə nəticələrinin formalaşmasının strukturunun qiymətləndirilməsi,mənfəətə təsir edən amillərin qiymətləndirilməsi,d
5,Mənfəət və zərər haqqında hesabatın üfiqi təhlilinin məqsədi,müəssisənin ödəmə qabiliyyətinin qiymətləndirilməsi,istehsalın səmərəliliyinin qiymətləndirilməsi,göstəricilərin artım tempinin qiymətləndirilməsi,mənfəətə təsir edən amillərin qiymətləndirilməsi,ötən dövrlə müqayisədə göstəricilərin strukturunun qiymətləndirilməsi,e
6,Xalis mənfəət yönəldilir,mənfəət vergisinin ödənilməsinə,itkilərin örtülməsinə,inzibati xərclərin örtülməsinə,"istehsalın inkişafına, ehtiyat fonduna",kommersiya xərclərinin ötrülməsinə,d
7,Xalis dövriyyə kapitalının həcminin artması şəraitində likvidliyin itirilməsi risk,"əvvəl azalır, sonra artır",risk yoxdur,Artır,"əvvəl artır, sonra azalır",Azalır,e
8,Təşkilatın maliyyə vəziyyəti haqqında informasiya səciyyələndi­rir,təşkilatın likvidliyini və ödəmə qabiliyyətini,təşkilatın potensial resurslarından istifadənin səmərəliliyini,təşkilatın pul vəsaitlərinə olan tələbatını,təşkilatın kreditor borclarını,təşkilatın debitor borclarını,a
9,Təşkilatın ən likvid aktivlərinə aid edilir,pul vəsaitləri və qısamüddətli maliyyə qoyuluşlar,bitməmiş istehsalat,ödəmə müddəti 12 aya qədər olan debitor borcları,gələcək dövrlərin xərcləri,qeyri dövriyyə aktivləri,a
10,Cari fəaliyyətdən pul daxil olmaları öz əksini tapır,kreditlərin alınmasında,avansların alınmasında,məhsul satışından pul gəlirində,dividendlərin və faizlərin alınmasında,əsas vəsaitlərin və digər əmlakın satışından pul gəlirində,c
11,Hesabatın hansı forması kassa metodu ilə tərtib edilir,Kapitalda dəyişikliklər haqqında hesabat,Mühasibat balansı,Düzgün cavab yoxdur,Mənfəət və zərərlər haqqında hesabat,Pul vəsaitlərinin hərəkəti haqqında hesabat,e
12,Pul vəsaitlərinin hərəkətinə təsir göstərməyən əməliyyatların nəticələrini nəzərə almaqla xalis mənfəətin düzəliş edilməsi nəzərdə tutan metod aşağıdakıdır:,Dövriyyə kapitalı metodu,Düzgün cavab yoxdur,Müstəqim (birbaşa) metod,Gəlirlərin və xərclərin üzləşdirilməsi metodu,Dolayı metod,e
13,Pul vəsaitlərinin hərəkəti haqqında hesabatın tərtib olunmasının neçə metodu mövcuddur,6,5,3,2,4,d
14,Pul vəsaitlərinin hərəkəti haqqında hesabatı tərtib etmək üçün hansı metoddan istifadə etmək olar,"Gəlir və xərclərin müqayisəsi metodu , müstəqim metod və dolayı metod;",Dövriyyə kapitalı metodu və dolayı metod;,Gəlir və xərclərin müqayisəsi metodu və müstəqim metod;,"Dövriyyə kapitalı metodu , müstəqim metod və dolayı metod",Müstəqim (birbaşa) metod və dolayı metod,e
15,"Təşkilatın, torpaqların, binaların və digər daşınmaz əmlakın satın alınmasına sərf olunan kapital qoyuluşları ilə əlaqədar fəaliyyəti belə adlanir",Əməliyyat,Cari,Maliyyələşdirmə,İnvestisiya,Fövqəladə,d
16,Əməliyyat fəaliyyətindən daxil olmanın hesablanmasının müstəqim (birbaşa) metoduna uyğun olaraq düzəlişlər nədən başlanır,Kreditor borcları,Satışdan vəsaitin daxil olması,Debitor borcları,Xalis mənfəət,Satılmış məhsulun maya dəyəri,b
17,MHBS­ə uyğun olaraq məqsədli maliyyələşmə şəklində alınan pul vəsaitlərinin qaytarılması ilə əlaqədar pul vəsaitlərinin çıxması Pul vəsaitlərinin hərəkəti haqqında hesabatda aşağıdakı bölmə üzrə əks etdirilir,Əməliyyat fəaliyyəti,İnvestisiya fəaliyyəti,Cari fəaliyyət,Maliyyələşdirmə fəaliyyəti,Fövqəladə fəaliyyət,d
18,MHBS­ə uyğun olaraq alınan borclar şəklində pul vəsaitlərinin daxil olması Pul vəsaitlərinin hərəkəti haqqında hesabatda aşağıdakı bölmə üzrə əks etdirilir,Cari fəaliyyət,İnvestisiya fəaliyyəti,Əməliyyat fəaliyyəti,Fövqəladə fəaliyyət,Maliyyələşdirmə fəaliyyəti,e
19,MHBS­ə uyğun olaraq borc şəklində əvvəllər alınan məbləğin qaytarılması ilə əlaqədar pul vəsaitlərinin çıxması Pul vəsaitlərinin hərəkəti haqqında hesabatda aşağıdakı bölmə üzrə əks etdirilir,Cari fəaliyyət,İnvestisiya fəaliyyəti,Əməliyyat fəaliyyəti,Fövqəladə fəaliyyət,Maliyyələşdirmə fəaliyyəti,e
20,Aşağıdakı maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqqında hesabatda əməliyyat fəaliyyəti bölümündə əks etdirmir,renta ödənişləri şəklində pul daxilolmaları,sair satış şəklində pul daxilolmaları,borc şəklində əvvəllər alınanların geriyə qaytarılması ilə bağlı pul vəsaitlərinin xaric olması,müəssisənin işçilərinə ödənilən pul vəsaitləri,kənd təsərrüfatı məhsullarının satışından pul daxilomaları,c
21,Aşağıdakı maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqqında hesabatda əməliyyat fəaliyyəti bölümündə əks etdirmir,renta ödənişləri şəklində pul daxilolmaları,kənd təsərrüfatı məhsullarının satışından pul daxilomaları,müəssisənin işçilərinə ödənilən pul vəsaitləri,alınan borc şəklində pul vəsaitlərinin daxil olması,sair satış şəklində pul daxilolmaları,d
22,Aşağıdakı maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqqında hesabatda əməliyyat fəaliyyəti bölümündə əks etdirmir,kənd təsərrüfatı məhsullarının satışından pul daxilomaları,müəssisənin işçilərinə ödənilən pul vəsaitləri,sair satış şəklində pul daxilolmaları,renta ödənişləri şəklində pul daxilolmaları,konvertasiya olunan istiqrazların buraxılışından alınan pul vəsaiti,e
23,Aşağıdakı maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqqında hesabatda əməliyyat fəaliyyəti bölümündə əks etdirmir,müəssisənin işçilərinə ödənilən pul vəsaitləri,kənd təsərrüfatı məhsullarının satışından pul daxilomaları,renta ödənişləri şəklində pul daxilolmaları,sair satış şəklində pul daxilolmaları,dividendlər şəklində ödənilən pul vəsaiti,e
24,Aşağıdakı maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqqında hesabatda əməliyyat fəaliyyəti bölümündə əks etdirmir,səhmlərin alınmasına yönəldilən pul vəsaiti,müəssisənin işçilərinə ödənilən pul vəsaitləri,renta ödənişləri şəklində pul daxilolmaları,kənd təsərrüfatı məhsullarının satışından pul daxilomaları,sair satış şəklində pul daxilolmaları,a
25,Aşağıdakı maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqqında hesabatda əməliyyat fəaliyyəti bölümündə əks etdirmir,sair satış şəklində pul daxilolmaları,kənd təsərrüfatı məhsullarının satışından pul daxilomaları,müəssisənin işçilərinə ödənilən pul vəsaitləri,renta ödənişləri şəklində pul daxilolmaları,qeyri­maddi aktivlərə görə ödənilən pul vəsaiti,e
26,Aşağıdakı maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqqında hesabatda əməliyyat fəaliyyəti bölümündə əks etdirmir,kənd təsərrüfatı məhsullarının satışından pul daxilomaları,sair satış şəklində pul daxilolmaları,renta ödənişləri şəklində pul daxilolmaları,övlad şirkətinin satılmasından alınan pul vəsaiti,müəssisənin işçilərinə ödənilən pul vəsaitləri,d
27,Aşağıdakı maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqqında hesabatda əməliyyat fəaliyyəti bölümündə əks etdirmir,renta ödənişləri şəklində pul daxilolmaları,kənd təsərrüfatı məhsullarının satışından pul daxilomaları,müəssisənin işçilərinə ödənilən pul vəsaitləri,digər təşkilatların borc maliyyə alətlərinin satışından alınan pul vəsaiti,sair satış şəklində pul daxilolmaları,d
28,Aşağıdakı maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqqında hesabatda əməliyyat fəaliyyəti bölümündə əks etdirmir,renta ödənişləri şəklində pul daxilolmaları,kənd təsərrüfatı məhsullarının satışından pul daxilomaları,müəssisənin işçilərinə ödənilən pul vəsaitləri,daşınmaz əmlaka investisiyaların satışından alınan pul vəsaiti,sair satış şəklində pul daxilolmaları,d
29,Aşağıdakı maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqqında hesabatda əməliyyat fəaliyyəti bölümündə əks etdirmir,sair satış şəklində pul daxilolmaları,əsas vəsaitlərin satışından alınan pul vəsaiti,kənd təsərrüfatı məhsullarının satışından pul daxilomaları,müəssisənin işçilərinə ödənilən pul vəsaitləri,renta ödənişləri şəklində pul daxilolmaları,b
30,Aşağıda sadalanan maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqda hesabatda investisiya fəaliyyəti bölümündə əks etdirilmir,forvard kontratklarına görə ödənilən pul vəsaiti,alınan pul vəsaiti çıxılmaqla övlad müəssisələrə investisiyalara görə ödənilən pul vəsaiti,renta ödənişi şəklində pul daxilolmaları,digər müəssisələrin borc maliyyə alətlərinə investisiyalarla əlaqədar ödənilən pul vəsaiti,bioloji aktivlərə görə ödənilən pul vəsaiti,c
31,Aşağıda sadalanan maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqda hesabatda investisiya fəaliyyəti bölümündə əks etdirilmir,alınan pul vəsaiti çıxılmaqla övlad müəssisələrə investisiyalara görə ödənilən pul vəsaiti,digər müəssisələrin borc maliyyə alətlərinə investisiyalarla əlaqədar ödənilən pul vəsaiti,bioloji aktivlərə görə ödənilən pul vəsaiti,forvard kontratklarına görə ödənilən pul vəsaiti,lisenziya yığımları (royaltı) şəklində pul daxilolmaları,e
32,Aşağıda sadalanan maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqda hesabatda investisiya fəaliyyəti bölümündə əks etdirilmir,forvard kontratklarına görə ödənilən pul vəsaiti,alınan pul vəsaiti çıxılmaqla övlad müəssisələrə investisiyalara görə ödənilən pul vəsaiti,digər müəssisələrin borc maliyyə alətlərinə investisiyalarla əlaqədar ödənilən pul vəsaiti,bioloji aktivlərə görə ödənilən pul vəsaiti,mənfəət vergisinə görə ödənilən pul vəsaiti,e
33,Aşağıda sadalanan maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqda hesabatda investisiya fəaliyyəti bölümündə əks etdirilmir,forvard kontratklarına görə ödənilən pul vəsaiti,alınan pul vəsaiti çıxılmaqla övlad müəssisələrə investisiyalara görə ödənilən pul vəsaiti,digər müəssisələrin borc maliyyə alətlərinə investisiyalarla əlaqədar ödənilən pul vəsaiti,bioloji aktivlərə görə ödənilən pul vəsaiti,maliyyə icarəsi üzrə öhdəliklərin ödənilməsi ilə əlaqədar verilən pul vəsaiti,e
34,Aşağıda sadalanan maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqda hesabatda investisiya fəaliyyəti bölümündə əks etdirilmir,forvard kontratklarına görə ödənilən pul vəsaiti,digər müəssisələrin borc maliyyə alətlərinə investisiyalarla əlaqədar ödənilən pul vəsaiti,bioloji aktivlərə görə ödənilən pul vəsaiti,pensiya öhdəlikləri üzrə faizlər şəklində ödənilən pul vəsaiti,alınan pul vəsaiti çıxılmaqla övlad müəssisələrə investisiyalara görə ödənilən pul vəsaiti,d
35,Aşağıda sadalanan maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqda hesabatda investisiya fəaliyyəti bölümündə əks etdirilmir,digər müəssisələrin borc maliyyə alətlərinə investisiyalarla əlaqədar ödənilən pul vəsaiti,alınan pul vəsaiti çıxılmaqla övlad müəssisələrə investisiyalara görə ödənilən pul vəsaiti,bioloji aktivlərə görə ödənilən pul vəsaiti,forvard kontratklarına görə ödənilən pul vəsaiti,adi səhmlərin buraxılışından alınan pul vəsaiti,e
36,Aşağıda sadalanan maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqda hesabatda investisiya fəaliyyəti bölümündə əks etdirilmir,alınan pul vəsaiti çıxılmaqla övlad müəssisələrə investisiyalara görə ödənilən pul vəsaiti,digər müəssisələrin borc maliyyə alətlərinə investisiyalarla əlaqədar ödənilən pul vəsaiti,bioloji aktivlərə görə ödənilən pul vəsaiti,konvertasiya olunan istiqrazların buraxılışından alınan pul vəsaiti,forvard kontratklarına görə ödənilən pul vəsaiti,d
37,Aşağıda sadalanan maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqda hesabatda investisiya fəaliyyəti bölümündə əks etdirilmir,satın alınan pul vəsaiti çıxılmaqla övlad müəssisələrə investisiyalara görə ödənilən pul vəsaiti,məqsədli maliyyələşmə qaydasında pul vəsaitlərinin daxil olması,digər müəssisələrin borc maliyyə alətlərinə investisiyalarla əlaqədar ödənilən pul vəsaiti,bioloji aktivlərə görə ödənilən pul vəsaiti,forvard kontratklarına görə ödənilən pul vəsaiti,b
38,Aşağıda sadalanan maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqda hesabatda investisiya fəaliyyəti bölümündə əks etdirilmir,məqsədli maliyyələşmə şəklində alınan pul vəsaitinin geri qaytarılması ilə əlaqədar pul vəsaitlərinin xaric olması,digər müəssisələrin borc maliyyə alətlərinə investisiyalarla əlaqədar ödənilən pul vəsaiti,bioloji aktivlərə görə ödənilən pul vəsaiti,satın alınan pul vəsaiti çıxılmaqla övlad müəssisələrə investisiyalara görə ödənilən pul vəsaiti,forvard kontratklarına görə ödənilən pul vəsaiti,a
39,Aşağıda sadalanan maddələrdən hansı MHBS­na uyğun olaraq pul vəsaitlərinin hərəkəti haqda hesabatda investisiya fəaliyyəti bölümündə əks etdirilmir,forvard kontratklarına görə ödənilən pul vəsaiti,digər müəssisələrin borc maliyyə alətlərinə investisiyalarla əlaqədar ödənilən pul vəsaiti,bioloji aktivlərə görə ödənilən pul vəsaiti,alınan borc şəklində pul vəsaitlərinin daxil olması,satın alınan pul vəsaiti çıxılmaqla övlad müəssisələrə investisiyalara görə ödənilən pul vəsaiti,d
40,Maliyyə vəziyyəti haqda hesabatda göstərilmir,Xərclər,Qeyri­maddi aktivlər,Debitor borcları,Ehtiyatlar,"Torpaq, Tikili və Avadanlıqlar",a
41,Maliyyə vəziyyəti haqda hesabatda göstərilmir,Debitor borcları,Qeyri­maddi aktivlər,Ehtiyatlar,"Torpaq, Tikili və Avadanlıqlar",Gəlirlər,e
42,Hansı MH təqdim edilmə tələbinə görə elementlərin bütün maddələri Konseptual əsaslarda nəzərdə tutrulan təriflərə və tanınma kriteriyalarına uyğun uçota alınmalı və əks etdirilməlidir,Əhəmiyyətlilik və aqreqasiyalaşdırma,Qarşılıqlı əvəzlənmə,Hesablama metodu ilə uçot,Dürüst təqdimedilmə və MHBS ­ə uyğunluq,Fasiləsiz fəaliyyət,c
43,Təşkilat öz fəaliyyətini fasiləsiz həyata keçirir və yaxın gələcəkdə də həyata keçirməkdə davam edəcəkdir MH təqdim edilməsinin hansı tələbidir,Qarşılıqlı əvəzlənmə,Əhəmiyyətlilik və aqreqasiyalaşdırma,Fasiləsiz fəaliyyət,Dürüst təqdimedilmə və MHBS ­ə uyğunluq,Hesablama metodu ilə uçot,c
44,"Baş vermiş hadisələrin əməliyyatlar və şəraitlər elementlərin təriflərinə, tanınma kriteriyalarına, MHBS­lsarın təsbit etmiş olduğu qaydalara,metodlara və prosedurlara uyğun əks etdirilməsi hansı tələbdir",Qarşılıqlı əvəzlənmə,Fasiləsiz fəaliyyət,Hesablama metodu ilə uçot,Əhəmiyyətlilik və aqreqasiyalaşdırma,Dürüst təqdimedilmə və MHBS ­ə uyğunluq,e
45,Hazırda qüvvədə olan İAS­ların sayı,18,32,30,12,24,e
46,Sahibkarın müəssisəyə ettiği investisiya necə adlandırılır,Öhdəlik,subyektiv,Kapital,Aktiv,Passiv,c
47,Hər hansı bir digər şəxsə olan borc,divident,Aktiv,Kapital,Amortizasiya,Öhdəlik,e
48,Müəssisənin sahib olduğu və ya işlətdiyi hər hansı dəyərli maddə,Kapital,Passiv,Öhdəlik,Aktiv,Kredit,d
49,Maliyyə hesabatlılığının elementləri arasında əlaqə aşağıdakı bərabərliyin vasitəsilə ifadə edilə bilər,Aktivlər = Xüsusi kapital + Royalti  + Gəlirlər – Xərclər,Aktivlər = Xüsusi kapital + Öhdəliklər  + Gəlirlər – Divident,Aktivlər =  Öhdəliklər  + Gəlirlər – Xərclər,Aktivlər = Xüsusi kapital + Öhdəliklər  + Gəlirlər – Xərclər,Aktivlər = Xüsusi kapital + Öhdəliklər  + Gəlirlər,d
50,Uzunmüddətli aktivlər,Hər 7 ildən bir edilir,Amortizasiya edilmir,Hər 3 ildən bir edilir,Amortizasiya edilir,Hər 5 ildən bir edilir,d
51,Cari aktivlər,Amortizasiya edilmir,Hər 7 ildən bir edilir,Hər 5 ildən bir edilir,Amortizasiya edilir,Hər 3 ildən bir edilir,a
52,Patent və müəllif hüquqları nədir,Uzunmüddətli öhdəlik,Qeyri­maddi aktiv,Cari aktiv,Qeyri­maddi aktiv,Cari öhdəlik,d
53,Qudvil nədir,Uzunmüddətli öhdəlik,Uzunmüddətli aktiv,Cari aktiv,Qeyri­maddi aktiv,Cari öhdəlik,d
54,Mənfəətə dolayı yolla təsir göstərir,statistik yardım,Cari aktiv,Cari öhdəlik,Uzunmüddətli aktiv,Uzunmüddətli öhdəlik,d
55,Mənfəətə bir başa təsir göstərir,statib öhdəlik,Uzunmüddətli aktiv,Cari öhdəlik,Cari aktiv,Uzun müddətli öhdəlik,d
56,Cari aktivlər,İstehsal və ticarət prosesində daha uzunmüddətli istifadə üçün nəzərdə tutulur,Bir neçə hesabat dövrü ərzində istifadə olunması nəzərdə tutulur,12 aydan çox müddətə saxlanılır,Mənfəətə bir başa təsir edir,İnvestisiya və istehsal üçün nəzərdə tutulur,d
57,Uzunmüddətli aktivlər,Satış və istehlak məqsədi ilə nəzərdə tutulur,Ticarət məqsaədləri üçün nəzərdə tutulur,12 ay ərzində reallaşdırılır,Bir neçə hesabat dövrü ərzində istifadə olunması nəzərdə tutulur,Mənfəətə bir başa təsir edir,d
58,Aşağıdakı maddələrdən hansı maddə mühasibat balansının “Uzunmüddətli aktivlər” bölməsində öz əksini tapmır,Malsatanlar və podratçılara uzunmüddətli kreditor borcları,Faizlər üzrə uzunmüddətli debitor borcları,Törəmə (asılı) müəssisələrin uzunmüddərli debitor borcları,Alıcı və sifarişçilərin uzunmüddətli debitor borcları,Tikinti müqavilələri üzrə uzunmüddətli debitor borcları,a
59,Aşağıdakı maddələrdən hansı maddə mühasibat balansının “Uzunmüddətli aktivlər” bölməsində öz əksini tapmır,Alıcı və sifarişçilərin uzunmüddətli debitor borcları,Tikinti müqavilələri üzrə uzunmüddətli debitor borcları,Faizlər üzrə uzunmüddətli debitor borcları,Törəmə (asılı) müəssisələrə uzunmüddərli debitor borcları,Törəmə (asılı) müəssisələrin uzunmüddərli debitor borcları,d
60,Aşağıdakı maddələrdən hansı maddə mühasibat balansının “Uzunmüddətli aktivlər” bölməsində öz əksini tapmır,Sair təxirə salınmış vergi aktivləri,Alıcı və sifarişçilərin uzunmüddətli debitor borcları,Tikinti müqavilələri üzrə uzunmüddətli debitor borcları,Faizlər üzrə uzunmüddətli debitor borcları,Gələcək hesabat dövrlərinin gəlirləri,e
61,Aşağıdakı maddələrdən hansı maddə mühasibat balansının “Uzunmüddətli aktivlər” bölməsində öz əksini tapmır,Faizlər üzrə uzunmüddətli debitor borcları,Tikinti müqavilələri üzrə uzunmüddətli debitor borcları,İşçilər üçün uzunmüddətli bank kreditləri,Sair təxirə salınmış vergi aktivləri,Alıcı və sifarişçilərin uzunmüddətli debitor borcları,c
62,Aşağıdakı maddələrdən hansı maddə mühasibat balansının “Uzunmüddətli aktivlər” bölməsində öz əksini tapmır,Sair təxirə salınmış vergi aktivləri,Alıcı və sifarişçilərin uzunmüddətli debitor borcları,Uzunmüddətli konvertasiya olunan istiqrazlar,Faizlər üzrə uzunmüddətli debitor borcları,Tikinti müqavilələri üzrə uzunmüddətli debitor borcları,c
63,Aşağıdakılardan hansı dövriyyə kapitalına aid deyildir,qısamüddətli maliyyə qoyuluşları,material dövriyyə vəsaitləri,debitor borcları,uzunmüddətli maliyyə qoyuluşları,pul vəsaitləri,d
64,Şirkət 1 yanvar 2020­ci ildə 42 000 manata avadanlıq alır. Avadanlığın faydalı istifadə dövrü 6 il və qalıq dəyəri 6 000 AZN qiymətləndirilir. Düz xətt metodu ilə amortizasiya illik amortizasiya xərcini hesablayın,11000,12000,8000,10100,6000,e
65,Şirkət 1 yanvar 2020­ci ildə 55 000 manata avadanlıq alır. Avadanlığın faydalı istifadə dövrü 7 il və qalıq dəyəri 13 000 AZN qiymətləndirilir. Düz xətt metodu ilə amortizasiya illik amortizasiya xərcini hesablayın,12000,8000,10000,6000,14000,d
66,Şirkət 1 yanvar 2020­ci ildə 75 000 manata avadanlıq alır. Avadanlığın faydalı istifadə dövrü 10 il və qalıq dəyəri 25 000 AZN qiymətləndirilir. Düz xətt metodu ilə amortizasiya illik amortizasiya xərcini hesablayın,3000,9000,8000,5000,7000,d
67,Şirkət 1 yanvar 2020­ci ildə 50 000 manata avadanlıq alır. Avadanlığın faydalı istifadə dövrü 5 il və qalıq dəyəri 5 000 AZN qiymətləndirilir. Düz xətt metodu ilə amortizasiya illik amortizasiya xərcini hesablayın,13000,10000,15000,9000,7500,d
68,Azalan qalıq üsulu ilə amortizasiyanın hesablanması nəticəsində nə baş verir,Hər növbəti dövrdə amortizasiya ayırmalarının artmasına,Hər dövrdə amortizasiya ayırmalarının daimi məbləğinin hesablanmasına,cari dəyərlə,Hər növbəti dövrdə amortizasiya ayırmaları normasının azalmasına,Hər növbəti dövrdə amortizasiya ayırmalarının azalmasına,e
69,Mühasibat balansında hansı bərabərlik gözlənilməlidir,Aktivin I bölməsinin və passivin V bölməsinin yekunlarının bərabərliyi,Balansın aktivinin II bölməsinin passivin IV bölməsinə bərabərliyi,II və IV bölmələrin yekunlarının bərabərliyi,Balansın aktiv və passiv yekunlarının bərabərliyi,II və IV bölmələrin yekunlarının bərabərliyi,d
70,Mühasibat hesabatı nəyi təcəssüm etdirir,üzləşdirirmə cədvəlini,dövriyyə cədvəlini,ilk sənədləşmə,hesabatın biri­birilə qarşılıqlı əlaqəsi olan formalarını,baş kitabı,d
