question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
71,Balansın passivində hansı bölmələr var,qeyri­maddi aktivlər,qısamüddətli debitor borcları,bioloyi aktivlər,pul vəsaitləri,kapital və öhdəliklər,e
72,Mal­material ehtiyatları və xərclər kreditləşdirilməyə bu qiymətləndirilmələr üzrə qəbul edilir,İlkin,Normativ,balans,Plan üzrə,faktiki,e
73,balansin hansi elemetləri əsas elemetlər hesab olunur,Mühasibat uçotunun hesabları,Balansın aktiv və passivinin eyniliyi,balansin ələvələri,balans məddələri,Balansın valyutası,d
74,"Balansın aktivlər bölməsində vəsaitlərin növləri göstərir ki, bunun vasitəsilə hansı uçot üçün hər bir balans maddəsi üzrə aktiv hesablar açılır",subhesab üçün,planli ucot,sintetik uçot üçün,analitik uçot üçün,cari uçot üçün,e
75,Hazırda mövcud olan mühasibat balansının növlərinə daxildir,"material balansı, tədiyə balansı","əmək ehtiyatları balansı, tədiyə balansı","material balansı, birləşmə balansı","illik, dövrü, giriş, birləşdirici, bölüşdürücü, bölüşdürücü, ləğvedici balans","sahələrarası balans, material balansı",d
76,Ləğv edilmə dövrünün əvvəlində hansı balans tərtib olunur,bölüşdürmə,giriş,cari,ləğv olunma,birləşmə,d
77,Bir təşkilatdan bir neçə müstəqil təşkilat yaradılan zaman hansı balans tərtib olunur,birləşmə,ləğv olunma,cari,bölüşdürmə,giriş,d
78,Bir neçə təşkilatın bir hüquqi şəxsdə birləşməsi zamanı hansı balans tərtib edilir,cari,ləğv olunma,bölüşdürmə,giriş,birləşdirmə,e
79,Aşağıdakılardan hansı müəssisənin qeyri­maddi aktivlərinə aid deyildir?,"”nou­xau”, proqram məhsulları","ticarət markaları, əmtəə nişanları","uzun müddət istifadə edilən, gəlir gətirən torpaq sahələrindən, təbii ehtiyatlardan istifadə hüquqları","patentlər, lisenziyalar",tara və tara materialları,e
80,"Təsərrüfat fəaliyyətində uzun müddət ərzində istifadə edilən, öz dəyəri olan, gəlir gətirən, lakin heç bir fiziki əsasa malik olmayan obyektlər necə adlanır",əsas vəsaitlər,maliyyə qoyuluşları,kapital qoyuluşları,qeyri­maddi aktivlər,dövriyyə vəsaitləri,d
81,1 milyon $ dəyərindəki böyük bir avadanlıq həmişə uzunmüddətli aktiv hesab olunur fikri doğrudurmu,Xeyr,Dəyəri 250.000 dən çox olduğu üçün doğrudur,Bəli,Dəyəri 10 milyon manatdan aşağı olduğu üçün yanlışdır,Dəyəri 500.000 dən çox olduğu üçün doğrudur,a
82,Hansı aktivlər çətin realizə olunan aktivlərə aiddir,"hazır məhsul, əsas vəsaitlər, qeyri­maddi aktivlər","uzunmüddətli maliyyə qoyuluşu, material ehtiyatlar","əsas vəsaitlər və bitməmiş tikinti, debitor borcları","əsas vəsaitlər, qeyri­maddi aktivlər, uzunmüddətli maliyyə qoyuluşu, bitməmiş istehsal","ehtiyat və məsrəflər, qeyri­maddi aktivlər",d
83,Qeyri­maddi aktivlərin əldə olunması və yaradılması ilə bağlı xərclər hansı kateqoriyaya aiddir,Cari istehsal və tədavül xərclərinə,Uzunmüddətli investisiyalara,Xüsusi kapitala,Qısamüddətli öhdəliklərə,Maliyyə qoyuluşlarına,b
84,Biznesin birləşdirilməsi xərcləri nədən ibarətdir,Satınalma tarixinə ana şirkətin övlad şirkətinə investisiya məbləğindən və birləşdirmə ilə bağlı istənilən xərclərdən,statistik əməliyyətlərdən,Satınalma tarixinə ana şirkətin övlad şirkətinə investisiya məbləğindən və gələcək xərclər və itkilərdən,"Satınalma tarixinə ana şirkətin övlad şirkətinə investisiya məbləğindən və gələcək xərclər və itkilər, habelə inzibati xərclərdən",Satınalma tarixinə ana şirkətin övlad şirkətinə investisiya məbləğindən və inzibati xərclərdən,a
85,İcmal mühasibat hesabatı aşağıdakı təşkilatlara aid edilir,Nümayəndəliklər,Filiallar,Yalnız asılı təşkilat,Övlad və asılı cəmiyyətlər,Filiallar və nümayəndəliklər,d
86,Pul vəsaitlərin hərəkəti haqqında hesabatın əsas məqsədi:,təşkilatın gələcək maliyyə potensialını qiymətləndirmək,pul vəsaitlərinin qalığını qiymətləndirmək,pul vəsaitlərinin daхil olmasını qiymətləndirmək,təşkilatın pul vəsaitlərini yaratmaq qabiliyyətinin qiymətləndirmək üçün pul vəsaitləri və onların ekvivalentlərinin dəyişməsi haqqında informasiya təqdim etmək,pul vəsaitlərinin хaric olmasını qiymətləndirmək,d
87,Pul vəsaitlərinin hərəkətit haqqında hesabatın təhlili imkan verir:,balansın strukturunun keyfiyyətinə təsir edən amillərin və onların təsirini müəyyən etmək,investisiya qoyuluşlarının maliyyələşdirilməsi üçün cari (əməliyyat) fəaliyyətdən хalis pul aхınının kifayətliliyi müəyyən edilir,investisiya fəaliyyətinin səmərəliliyi qiymətləndirilir,хalis mənfəətin formalaşmasına təsir edən amillərin və onların təsirini müəyyən etmək,pul aхınlarının formalaşmasına təsir edən amillərin və onların təsirini müəyyən etmək,e
88,Aşağıdakılardan hansı fəaliyyət növü Pul vəsaitlərinin hərəkəti haqqında hesabatda müəssisənin xalis mənfəətinə təsir göstərir?,Hamısı,Maliyyə,İnvesttisiya,Əməliyyat,İnvestisiya və maliyyə,d
89,Aşağıdakılardan hansı PVHHH­nin əməliyyat fəaliyyətinə aiddir?,Səhmlərin satışı,İstiqrazlara görə ödəniş,"Torpaq, tikili və avadanlıqların satışı",Əmtəə və ya xidmət alışı,Banklardan kreditin götürülməsi,d
90,Amortizasiya xərci PVHH­nin hansı bölməsində qeyd olunmalıdır?,Maliyyə,statistik,Hamısı,Əməliyyat,İnvestisiya,d
91,Tikili və avadanlıqların satışından itkilər PVHH­nin hansı bölməsində qeyd olunmalıdır,paralel,Maliyyə,İnvestisiya,Əməliyyat,Hamısı,d
92,"Pul vəsaitinin hərəkəti haqqında hesabatın (PVHHH) hansı bölməsi həm dolaylı, həm də birbaşa metoddan istifadə etməklə hazırlanır?",Hamısı,funksional,Maliyyə,İnvestisiya,Əməliyyat,e
93,"PVHH­də torpaq,tikili və avadanlıqların hərəkəti hansı fəaliyyət bölməsində əks etdirilməlidir?",İnvestisiya,Maliyyə,Əməliyyat,diogonal,Hamısında,a
94,Pul vəsaitlərinin hərəkəti haqqında hesabatın hazırlanmasının hansı metodları vardır? 1) dolayı 2) birbaşa 3) Əməliyyat 4) İnvestisiya 5) Maliyyə,3;4,3;4;5,1;2,4;5,1;5,c
95,Pul vəsaitləri haqqında hesabat hansı bölmələr üzrə təsnifləşdirilir? 1) Əməliyyat 2) İnvestisiya 3)Maliyyə 4)Gəlir 5)Xərc 6) Öhdəlik,2;3;4,2;3;4,3;4;6,1­4;6,1;2;3,e
96,"Xidmət göstərilməsindən gəlir ­ 300.000 , material xərcləri ­ 100.000 manat və cərimə xərcləri 50.000 manatdır. Maliyyə göstəricisini hesablayın",120 000,140 000,250 000,220 000,150 000,e
97,"Xidmət göstərilməsindən gəlir ­ 500.000 , material xərcləri ­ 300.000 manat və cərimə xərcləri 30.000 manatdır. Maliyyə göstəricisini hesablayın",270 000,470 000,770 000,230 000,170 000,e
98,Vergiyə cəlb olunan gəlirlərin məbləği 700 min manatdır. Vergi tutulma məqsədi üçün tanınan xərclərin məbləği 500 min manat təşkil edir. Vergi bazasını hesablayın,1200000,1 000 000,600 000,200 000,100 000,d
99,Mənfəət vergisinin faiz dərəcəsi,14.00%,25.00%,30.00%,22.00%,20.00%,e
100,Müqavilədə qeyd edilməyən lakin öhdəliklərin yerinə yetirilməsi zamanı çəkilən xərclər işlərin yerinə yetirilməsi səviyyəsini müəyyənləşdirərkən ......,Gəlirin üzərinə əlavə olunmalıdır,maya dəyəri cıxılmalıdır,Kapitalı artırmalıdır,Gəlirdən çıxılmalıdır,Xərcləri azaltmalıdır,d
101,"Əgər müəssisənin aktivi geriyə almaq və ya satmaq hüququ varsa, o zaman .......",Alıcı xərci tanıyır və satıcı gəliri tanıyır,demografik,Alıcı nəzarəti əldə edir və satıcı gəliri tanıyır,Alıcı nəzarəti əldə etmir və satıcı gəliri tanıyır,Alıcı nəzarəti əldə etmir və satıcı gəliri tanımır,e
102,Geriyə alım müqaviləsində müştərinin tələbi ilə aktivin geri alınması ilə bağlı müəssisənin öhdəliyi,inflyasion,Kol opsionu,Forvard,Put opsionu,Fyuçers,d
103,Geriyə alım müqaviləsində aktivin geri alınması ilə bağlı müəssisənin hüququ,Fyuçers,Put opsionu,statistik,Forvard,Kol opsionu,e
104,Geriyə alım müqaviləsində aktivin geri alınması ilə bağlı müəssisənin öhdəliyi necə adlanır,eskluziv,Kol opsionu,Forvard,Put opsionu,Fyuçers,c
105,"İFRS 15 ""Müştərilərlə müqavilələr üzrə gəlirlər"" standartı üzrə beşinci mərhələ hansıdır",müqavilələrin müəyyənləşdirilməsi mərhələsidir,Əməliyyatın dəyərinin öhdəliklərin yerinə yetirilməsi səviyyəsi üzərində bölüşdürülməsi mərhələsi.,Öhdəlikərin yerinə yetirilməsinin müəyyənləşməsi mərhələsi,Əməliyyatın qiymətinin müəyyənləşdirilməsi mərhələsidir,Gəlirin tanınması mərhələsi,e
106,"İFRS 15 ""Müştərilərlə müqavilələr üzrə gəlirlər"" standartı üzrə dördüncü mərhələ hansıdır",Əməliyyatın dəyərinin öhdəliklərin yerinə yetirilməsi səviyyəsi üzərində bölüşdürülməsi mərhələsi.,müqavilələrin müəyyənləşdirilməsi mərhələsidir,Öhdəliklərin yerinə yetirilməsinin müəyyənləşməsi mərhələsidir,Gəlirin tanınması mərhələsi,Əməliyyatın qiymətinin müəyyənləşdirilməsi mərhələsidir,a
107,"İFRS 15 ""Müştərilərlə müqavilələr üzrə gəlirlər"" standartı üzrə üçüncü mərhələ hansıdır",müqavilələrin müəyyənləşdirilməsi mərhələsidir,Gəlirin tanınması mərhələsi,Əməliyyatın dəyərinin öhdəliklərin yerinə yetirilməsi səviyyəsi üzərində bölüşdürülməsi mərhələsi.,Əməliyyatın qiymətinin müəyyənləşdirilməsi mərhələsidir,Öhdəliklərin yerinə yetirilməsinin müəyyənləşməsi mərhələsidir,d
108,"İFRS 15 ""Müştərilərlə müqavilələr üzrə gəlirlər"" standartı üzrə ikinci mərhələ hansıdır",müqavilələrin müəyyənləşdirilməsi mərhələsidir,Əməliyyatın qiymətinin müəyyənləşdirilməsi mərhələsidir,Gəlirin tanınması mərhələsi,Əməliyyatın dəyərinin öhdəliklərin yerinə yetirilməsi səviyyəsi üzərində bölüşdürülməsi mərhələsi.,Öhdəliklərin yerinə yetirilməsinin müəyyənləşməsi mərhələsidir,e
109,"İFRS 15 ""Müştərilərlə müqavilələr üzrə gəlirlər"" standartı üzrə birinci mərhələ hansıdır",müqavilələrin müəyyənləşdirilməsi mərhələsidir,Əməliyyatın qiymətinin müəyyənləşdirilməsi mərhələsidir,Öhdəliklərin yerinə yetirilməsinin müəyyənləşməsi mərhələsidir,Əməliyyatın dəyərinin öhdəliklərin yerinə yetirilməsi səviyyəsi üzərində bölüşdürülməsi mərhələsi.,Gəlirin tanınması mərhələsi,a
110,"İFRS 15 ""Müştərilərlə müqavilələr üzrə gəlirlər"" standartı neçə mərhələdən ibarətdir",4,6,2,5,3,d
111,Etibarlı əsasda qiymətləndirilə bilməyən yardım nümunəsi kimi göstərilə bilər,inventar,Torpaq sahəsi,Marketinq məsləhəti,Mal­material,Avadanlıq,c
112,Hökümət subsidiyası qeyri­monetar şəkildə ola bilərmi,Xeyr,statistik əməliyyətlərlə,Belə bir anlayış yoxdur,Bəli,məbləğindən asılı olaraq dəyişir,d
113,Dövlət subsidiyalarının mühasibat uçotunun aparılmasına dair neçə əsas metod var,5,6,3,4,2,e
114,Aktivlərə aid olmayan hökumət subsidiyalarıdır,Gəlirə aid olan subsidiyalar,Ədalətli dəyər,Bagışlana bilən borclar,Daxili subsidiyalar,Xarici subsidiyalar,a
115,Müəssisənin əməliyyat fəaliyyəti ilə əlaqədar müəyyən şərtlərin keçmişdə və ya gələcəkdə yerinə yetirilməsinə görə müəssisəyə resursların köçürülməsi formasında olan hökumət yardımıdır,Kənt təsərüffatı subsidiyaları,stabil subsidiyalar,Xüsusi subsidiyalar,Hökümət subsidiyaları,Biznes Subsidiyaları,d
116,Müəyyən meyarlara cavab verən müəssisə və ya müəssisələr grupuna aid xüsusi iqtisadi səmərənin təmin edilməsinə yönəlmiş dövlət fəaliyyətidir,Xüsusi yardım,Büdcə yardımı,Mərkəzləşdirilmiş fond yardımı,uğursuz olan,Hökümət yardımı,e
117,Hadisənin baş vermə ehtimalı 0%­4% arası  olduqda bu öhdəlik necə adlandırılır,Mümkün olan,statistik əməliyyətlər,Faktiki,Ehtimal olunan,Az ehtimal olunan,e
118,Hadisənin baş vermə ehtimalı 5%­49% arası  olduqda bu öhdəlik necə adlandırılır,Az ehtimal olunan,qeyri standart,Faktiki,Ehtimal olunan,Mümkün olan,e
119,Hadisənin baş vermə ehtimalı 50%­94% arası  olduqda bu öhdəlik necə adlandırılır,Az ehtimal olunan,Ehtimal olunan,Mümkün olan,Faktiki,statistik əməliyyətlər,b
120,Hadisənin baş vermə ehtimalı 95%­dən yüksək olduqda bu öhdəlik necə adlandırılır,Az ehtimal olunan,Faktiki,Ehtimal olunan,operativ,Mümkün olan,b
121,Qiymətləndirilmiş öhdəliklərə aiddir,Ödənişin kim tərəfindən olunması məlumdur,"Maliyyə hesabatında necə bir öhdəlik kimi tanınır (ticarət borcu, yaxud digər kreditor borcu kimi)",Ödənişin dəqiq məbləği məlumdur,statistik əməliyyətlər,Ödənişin müddətinin dəqiq təyin edilməməsi,e
122,"Gözlənilən satış qiyməti 32.000 manat, gözlənilən tamamlanma xərcləri 16.000manat, satışın reallaşması üçün çəkilən bir başa xərclər 9.500 manatdır. Mümkün xalis satış dəyərini hesablayın.",15500,15000,7750,6500,2250,d
123,"Gözlənilən satış qiyməti 32.000 manat, gözlənilən tamamlanma xərcləri 16.000manat, satışın reallaşması üçün çəkilən bir başa xərclər 4.000 manatdır. Mümkün xalis satış dəyərini hesablayın.",28000,16000,22000,20000,12000,e
124,"Gözlənilən satış qiyməti 55.000 manat, gözlənilən tamamlanma xərcləri 0 manat, satışın reallaşması üçün çəkilən bir başa xərclər 25.000 manatdır. Mümkün xalis satış dəyərini hesablayın.",15000,14000,12500,30000,25000,d
125,"Gözlənilən satış qiyməti 30.000 manat, gözlənilən tamamlanma xərcləri 12.000 manat, satışın reallaşması üçün çəkilən bir başa xərclər 16.000 manatdır. Mümkün xalis satış dəyərini hesablayın",14000,7000,26000,2000,18000,d
126,"Gözlənilən satış qiyməti 25.000 manat, gözlənilən tamamlanma xərcləri 12.500 manat, satışın reallaşması üçün çəkilən bir başa xərclər 0 manatdır. Mümkün xalis satış dəyərini hesablayın.",6250,18750,25000,12500,37500,d
127,"Gözlənilən satış qiyməti 25.000 manat, gözlənilən tamamlanma xərcləri 5000 manat, satışın reallaşması üçün çəkilən bir başa xərclər 12.000 manatdır. Mümkün xalis satış dəyərini hesablayın",8000,18000,13000,15000,20000,a
128,LİFO metodundan günümüzdə istifadə edilirmi,Bəli,Müəssisənin quruluşuna uyğun qərar verilir,Nizamnamı kapitalına baxılaraq qərar verilir,Xeyr,Müəyyən hallarda edilir,d
129,LİFO nədir,İlk alınan mal ilk istehsal edilir,istehsal edilmir,İlk alınan mal ilk istehlak edilir,Son alınan son istehlak edilir,Son alınan mal ilk istehsak edilir,e
130,"İlk satınalmalar 3000  manat,  ikinci satınalma isə 3000 manatdır. Cəmi miqdar isə 700 ədəddir. Orta dəyəri hesablayın",10.57,19,14.45,8.57,12.45,d
131,"İlk satınalmalar 2400  manat,  ikinci satınalma isə 3000 manatdır. Cəmi miqdar isə 700 ədəddir. Orta dəyəri hesablayın",10.25,12.42,17.25,15,7.71,e
132,"İlk satınalmalar 5400  manat,  ikinci satınalma isə 2000 manatdır. Cəmi miqdar isə 740 ədəddir. Orta dəyəri hesablayın",20 manat,22 manat,5 manat,15 manat,10 manat,e
133,FİFO nə deməkdir,Son alınan mal ilk olaraq istehlak edilir,Son alınan mal ilk olaraq istehlak edilir,Son alınan mal son olaraq istehlak edilir,İlk alınan mal ilk olaraq istehsal edilir,İlk alınan mal ilk istehlak edilir,e
134,Törəmə maliyyə alətlərinin digər adı,Trattalar,ekspreslər,Opsionlar,Derivativlər,Fyüçerslər,d
135,Kreditor borcu,Aktivdir,Zərərdir,Mənfəətdir,Öhdəlikdir,Kapitaldır,d
136,Debitor borcu,Öhdəlikdir,Zərərdir,Mənfəətdir,Aktivdir,Kapitaldır,d
137,"Əgər təşkilat xüsusi səhmlərini satın alırsa,onda onlar",Öhdəliklərin üzərinə əlavə olunur,Öhdəliklərdən çıxılır,Aktivlərin üzərinə əlavə olunur,Xüsusi kapitaldan çıxılır,Aktivlərdən çıxılır,d
138,Müəyyən olunmuş qiymətlə razılaşdırılmş müddətdə tərəflərdən birinə nəyi isə əldə etmək yaxud digər tərəfə satmaq hüququ verən əməliyyatın keçirilməsi üzrə alətdir,Fyuçers kontraktları,Forvard kontraktları,paralel,Svoplar,Opsionlar,e
139,"Bir aktivlərdən gələcək pul axınının, digər aktivlərdən gələcək pul axınına  mübadilə edilməsi barədə razılıqdır, sazişdir",Opsionlar,paralel,Fyuçers kontraktları,Forvard kontraktları,Svoplar,e
140,Onların əsasında kontraktın bağlandığı tarixə müəyyən edilmiş şərtlərə uyğun olaraq  gələcəkdə müəyyən tarixə mübadilə həyata keçirmək üzrə iki tərəf üçün öhdəliklər müəyyən olunur,Fyuçers kontraktları,Svoplar,Forvard kontraktları,Opsionlar,paralel,c
141,Onların əsasında əvvəlcə müəyyən edilmiş şərtlər əsasında gələcəkdə maliyyə alətlərinin yaxud malların verilməsi həyata keçirilir,Forvard kontraktları,paralel,Fyuçers kontraktları,Svoplar,Opsionlar,c
142,Bütün maliyyə alətləri neçə qrupa bölünür,2,5,4,3,6,a
143,Pay alətlərinə aiddir,Kreditor borcları,Bankda olan depozitlər,Verilmiş borclar,Xüsusi sadə səhmlər,Debitor borcları,d
144,Maliyyə öhdəliklərinə aiddir,Verilmiş borclar,Bankda olan depozitlər,əldə edilmiş istiqrazlar,Debitor borcları,Verilmiş veksellər,e
145,Maliyyə aktivlərinə aiddir,Kreditor borcları,buraxılmış istiqrazlar,Pul vəsaitləri,verilmiş veksellər,alınmış borclar,c
146,Müəssisənin komponenti,"digər aktivlərdən yaxud aktivlər qrupundan yaranan  pul vəsaitləri daxilmalarından əhəmiyyətli dərəcədə asılı olmayaraq, pul vəsaitləri yaradan ən az identifikasiya olunan aktivlər qrupudur",statistik əməliyyətlər,"bir əməliyyatın nəticəsində qrup kimi satış yolu ilə yaxud digər tərzdə təsərrüfatdan çıxmalı olan aktivlər qrupu, və  həmin aktivlərlə bilavasitə əlaqəli olan öhdəliklərdir, hansılar ki həmin əməliyyat nəticəsində veriləcəklər",əməliyyat və maliyyə hesabatlılığı məqsədləri baxımından müəssisənin digər hissəsindən dəqiq tədric oluna biləcək fəaliyyət və pul vəsaitlərinin axınıdır,maliyyələşdirməyə çəkilən məsrəflər və mənfəət vergisi üzrə xərclər istisna olunmaqla aktivin (yaxud təsərrüfatdan çıxan qrupun) təsərrüfatdan çıxması ilə bilavasitə əlaqədar olan əlavə məsrəflərdir,d
147,Adi fəaliyyətin gesişində istehsalın başa çatdırılmasına hesabi məsrəflər və satış üçün çəkilməsi zəruri olan hesabi məsrəflər çıxılmaqla hesabi qiymətdir,Satışın xalis mümkün qiyməti,köhnəlmə dəyər,Ədalətli dəyər,İlkin dəyər,Amortizasiya olunan dəyər,a
148,Nou­Hau nədir,Cari aktiv,Cari öhdəlik,Uzunmüddətli öhdəlik,Uzunmüddətli aktiv,Qeyri maddi aktiv,e
149,Qudvil nədir,Uzunmüddətli aktiv,Uzunmüddətli öhdəlik,Cari aktiv,Cari öhdəlik,Qeyri maddi aktiv,e
150,Təşkilatın əməliyyat fəaliyyəti ilə əlaqədar keçmişdə yaxud gələcəkdə müəyyən şərtlərə əməl etməsi müqabilində resursların təşkilata verilməsi formasında dövlət yardımıdır,Makro kreditlər,İstehlak kreditləri,Biznes kreditləri,Mikro kreditlər,Dövlət subsidiyaları,e
151,Keçmiş hadisələr nəticəsində şirkət tərəfindən nəzarət olunan bitkilər və heyvanlardır,Qeyri­maddi aktivlər,Bioloji aktivlər,K/t aktivləri,köməkci aktivlər,Maddi aktivlər,b
152,Aktivin balans dəyərinin onun ödənilmə dəyərindən artıq olan məbləğidir,Qiymətdəndüşmədən zərər,Amortizasiya olunan dəyər,Ədalətli dəyər,Ləğv dəyəri,İlkin dəyər,a
153,Ləğv dəyəri çıxılmaqla aktivin maya dəyəri yaxud maya dəyəri əvəzinə hesabatda əks etdirilmiş məbləğdir,Təşkilatın nökteyi nəzərindən dəyər,Ədalətli dəyər,Amortizasiya olunan dəyər,İlkin dəyər,Ləğv dəyəri,c
154,Aktivin əldə edilməsi  və ya tikilməsi  üçün ödənilmiş pul vəsaitlərinin və onların ekvivalentlərinin məbləği yaxud əldə olunması ya da tikilməsi anında onun əldə edilməsi üçün verilmiş digər qarşı təqdimolunmanın ədaləti dəyəridir,Ödənilmə dəyəri,Ədalətli dəyər,Amortizasiya olunan dəyər,İlkin dəyər,Ləğv dəyəri,d
155,"Qiymətləndirilmə tarixinə bazar iştirakçıları arasındakı adi sövdələşmənin gedişində aktivin satışından əldə oluna, yaxud öhdəliyin ödənilməsi zamanı ödənilə biləcək məbləğdir",Ləğv dəyəri,Amortizasiya olunan dəyər,İlkin dəyər,Ədalətli dəyər,Ödənilmə dəyəri,d
156,Qeyri­maddi aktivlər hansı dəyərlə uçota alınır,bərpa dəyəri ilə,ilkin dəyərlə,inventar dəyəri ilə,smeta dəyəri ilə,qalıq dəyəri ilə,b
157,Qeyri­maddi aktivlər hansı hallarda təsərrüfatdan çıxa bilər,"istifadə olunmadıqda, əvəzsiz verildikdə","gəlir gətirmədikdə, ləğv olunub silindikdə",xidmət müddəti başa çatdıqda,"kənara çıxıldıqda, tam köhnəlmə nəticəsində ləğv olunub silindikdə","icarəyə verildikdə, ləğv olunub silindikdə",d
158,Qeyri­maddi aktivlərin əldə olunması və yaradılması ilə bağlı xərclər hansı kateqoriyaya aiddir,Cari istehsal və tədavül xərclərinə,Uzunmüddətli investisiyalara,Xüsusi kapitala,Qısamüddətli öhdəliklərə,Maliyyə qoyuluşlarına,b
159,Patent və müəllif hüquqları nədir,Uzunmüddətli aktiv,Qeyri maddi aktiv,Cari öhdəlik,Uzunmüddətli öhdəlik,Cari aktiv,b
160,Azərbaycan Respublikasında maliyyə ili tarixlərini göstərin,1 İyun ­ 31 Oktaybr,1 Yanvar ­ 20 Dekabr,1 Fevral ­31 Oktyabr,1 Yanvar ­31 Dekabr,1 Mart ­31 Dekabr,d
161,Satışan gəlir ­ Satışın maya dəyəri,xalis mənfəət,Sair gəlir,vergitutmaya qədər mənfəət,Ümumi mənfəət,tam olmayan gəlir,d
162,Uzunmüddətli öhdəliklər nə qədər müddəti əhatə edir,3 ildən yuxarı,1 ildən yuxarı,3 ildən 5 ilə kimi,10 ildən yuxarı,5 ildən yuxarı,b
163,Qısamüddətli öhdəliklər nə qədər müddəti əhatə edir,3 ildən az,1 ildən az,1 ildən 2 ilə qədər,3 ildən 5 ilə qədər,5 ildən az,b
164,Uzunmüddətli aktivlər nə qədər müddəti əhatə edir,3 ildən yuxarı,1 ildən yuxarı,3 ildən 5 ilə kimi,10 ildən yuxarı,5 ildən yuxarı,b
165,Qısa müddətli aktivlər nə qədər müddəti əhatə edir,3 ildən az,1 ildən az,1 ildən 2 ilə qədər,3 ildən 5 ilə qədər,5 ildən az,b
166,Maliyyə vəziyyəti haqda hesabatda göstərilmir,Qeyri­maddi aktivlər,Xərclər,"Torpaq, Tikili və Avadanlıqlar",Ehtiyatlar,Debitor borcları,b
167,Maliyyə vəziyyəti haqda hesabatda göstərilmir,Ehtiyatlar,Debitor borcları,Qeyri­maddi aktivlər,Gəlirlər,"Torpaq, Tikili və Avadanlıqlar",d
168,Hansı MH təqdim edilmə tələbinə görə elementlərin bütün maddələri Konseptual əsaslarda nəzərdə tutrulan təriflərə və tanınma kriteriyalarına uyğun uçota alınmalı və əks etdirilməlidir,Dürüst təqdimedilmə və MHBS ­ə uyğunluq,Hesablama metodu ilə uçot,Əhəmiyyətlilik və aqreqasiyalaşdırma,Qarşılıqlı əvəzlənmə,Fasiləsiz fəaliyyət,b
169,Xammal,Cari aktivdir,Qeyri­madii aktivdir,Uzunmüddətli öhdəlikdir,Cari aktivdir,Uzunmüddətli aktivdir,d
