question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
170,Mebel və digər ofis avadanlıqları,Uzunmüddətli öhdəlikdir,Qeyri­maddi aktivdir,Uzunmüddətli aktivdir,Cari öhdəlikdir,Cari aktivdir,c
171,Pul vəsaiti və bank hesabı,Cari öhdəlikdir,Qeyri­maddi aktivdir,Uzunmüddətli öhdəlikdir,Cari aktivdir,Uzunmüddətli aktivdir,d
172,Mal­material ehtiyatları,Uzunmüddətli öhdəlikdir,Qeyri­madii aktivdir,Cari öhdəlikdir,Uzunmüddətli aktivdir,Cari aktivdir,e
173,Tikili və avandalıq,Qeyri maddi aktivdir,Qısa müddətli aktivdir,Cari aktivdir,Uzunmüddətli aktivdir,Aktiv deyil,d
174,Aşağıdakı şərtlərdən hansı cari aktiv hesab olunmur,Əsasən alqı­satqı məqsədləri üçün saxlandıqda,Pul vəsaiti və ya onun ekvivalentləri formasında olduqda.,Müəssisənin normal (adi) əməliyyat dövründə satış və ya istifadə üçün saxlanıldıqda və ya realizasiya olunması ehtimal olunduqda,Hesabat tarixindən sonra 18 ay müddətində realizasiya ediləcəyi ehtimal olunduqda,Hesabat tarixindən sonra 12 ay müddətində realizasiya ediləcəyi ehtimal olunduqda,d
175,Müəssisələrdə məhsulun buraxılması nə ilə rəsmiyyətə salınır,qaimə ilə,bank çıxarışı,memorial order,qəbul­təhvil aktı ilə,kassa məxaric orderi ilə,d
176,Maliyyə qoyuluşlarını həyata keçirmək üçün istifadə olunan borc vəsaitləri və öhdəliklərinə aiddir,Vergi üzrə büdcə qarşısında olan borclar,Əməyin ödənilməsi üzrə işçi heyətinə olan borclar,Bankın uzunmüddətli kreditləri,Gələcək hesabat dövrlərində ödənilməsi nəzərdə tutulan kreditor borcları,Hesabat ilinin bölüşdürülməmiş mənfəəti,d
177,Səhmdar cəmiyyətin ehtiyat kapitalı hansı məqsədlər üçün istifadə oluna bilər,Nizamnamə kapitalının artırılması üçün,Səhmdarlardan xüsusi səhmlərin alınması üçün,İşçilərin əmək haqqının və səhmdar cəmiyyətin ləğv olunması zamanı işdən çıxarma müavinətlərinin verilməsi üçün,"Hesabat dövrünün zərərlərini örtmək üçün, səhmdarlardan xüsusi səhmlərin alınması üçün",Hesabat dövrünün zərərlərini örtmək üçün,d
178,Hansı amillər istehsalın həcminə təsir göstərir,"ayrı­ayrı məhsula tələbin dəyişməsi, bazarın konyunkturasının dəyiş¬mə¬si, iqtisadi və siyasi şəraitin dəyişməsi","məhsul çeşidinin dəyişməsi, məhsulun keyfiyyətin dəyişməsi, məhsula tələbin dəyişməsi","məhsulun materialtutumunun dəyişməsi, məhsulun maya dəyərinin dəyişməsi, material xərclərin dəyişməsi",hesabat dövrünün əvvəlinə və sonuna anbarda hazır məhsul qalıqlarının dəyişməsi,"əmək məhsuldarlığının dəyişməsi, fəhlələrin sayının dəyişməsi fəhlələ­rin sayının dəyişməsi, məhsulun əməktutumun dəyişməsi",d
179,"MVHH tarixi 31 mart 20X7­ci il olarsa və hesabatların dərc olunmaq üçün təsdiqləndiyi tarix 25 avqust 20X7­ci il tarixi olarsa, aşağıdakı hadisələrdən hansını maliyyə hesabat­ larına düzəliş edilməsini tələb etməyən, hesabat dövründən sonra baş vermiş hadisə hesab etmək olar?","31 dekabr 20X6­cı il tarixində satın alınmış avadanlığın ilkin dəyəri 20 iyul tar­ ixində dəyişməz qalaraq, 155.000$­a bərabər olur",30 aprel 20X7­ci il tarixində uzunmüddətli investisiyaların bazar dəyəri 25.000$ məbləğində aşağı düşmüşdür,"Son beş il ərzində müzakirə edilən məsələ, axır ki, 31 iyul 20X7­ci il tarixində öz həllini tapır və şirkətin daha 50.000$ öhdəliyi olduğu müəyyənləşir","22 iyun 20X7­ci il tarixində müəssisədən 10.000$ məbləğində pul vəsaitinin mən­ imsənilməsi faktı aşkarlanmışdır ki, bu da maliyyə hesabatlarının düzgün ol­ madığını göstərir",,b
180,Təşkilat öz fəaliyyətini fasiləsiz həyata keçirir və yaxın gələcəkdə də həyata keçirməkdə davam edəcəkdir MH təqdim edilməsinin hansı tələbidir,Hesablama metodu ilə uçot,Əhəmiyyətlilik və aqreqasiyalaşdırma,Qarşılıqlı əvəzlənmə,Fasiləsiz fəaliyyət,Dürüst təqdimedilmə və MHBS ­ə uyğunluq,d
181,"Baş vermiş hadisələrin əməliyyatlar və şəraitlər elementlərin təriflərinə, tanınma kriteriyalarına, MHBS­lsarın təsbit etmiş olduğu qaydalara,metodlara və prosedurlara uyğun əks etdirilməsi hansı tələbdir",Fasiləsiz fəaliyyət,Dürüst təqdimedilmə və MHBS ­ə uyğunluq,Əhəmiyyətlilik və aqreqasiyalaşdırma,Qarşılıqlı əvəzlənmə,Hesablama metodu ilə uçot,b
182,Hazırda qüvvədə olan İAS­ların sayı,30,32,18,24,12,d
183,Sahibkarın müəssisəyə ettiği investisiya necə adlandırılır,Aktiv,Kapital,Öhdəlik,subyektiv,Passiv,b
184,Hər hansı bir digər şəxsə olan borc,Aktiv,Öhdəlik,Amortizasiya,inventarizasiya,Kapital,b
185,Müəssisənin sahib olduğu və ya işlətdiyi hər hansı dəyərli maddə,Passiv,Kredit,Kapital,Aktiv,Öhdəlik,d
186,Maliyyə hesabatlılığının elementləri arasında əlaqə aşağıdakı bərabərliyin vasitəsilə ifadə edilə bilər,Aktivlər = Xüsusi kapital + Royalti  + Gəlirlər – Xərclər,Aktivlər = Xüsusi kapital + Öhdəliklər  + Gəlirlər – Divident,Aktivlər =  Öhdəliklər  + Gəlirlər – Xərclər,Aktivlər = Xüsusi kapital + Öhdəliklər  + Gəlirlər – Xərclər,Aktivlər = Xüsusi kapital + Öhdəliklər  + Gəlirlər,d
187,Hesabat verən təşkilatın fəaliyyətinin maliyyə nəticələrinə aid olan elementlər,Faizlər və Xərclər,Royalti və Gəlirlər,"Aktivlər, Öhdəliklər və Xüsusi kapital",Divident və vergilər,Gəlirlər və Xərclər,e
188,Hesabat verən təşkilatın maliyyə vəziyyətinə aid olan elementlər,Gəlirlər və Xərclər,"Aktivlər, Öhdəliklər və Xüsusi kapital",Faizlər və Xərclər,Royalti və Gəlirlər,Divident və vergilər,b
189,Mühasibat məlumatının faydalılığına istinad edilmə necə adlanır,Etibarlıq,Münasiblik,Ehtiyatlıq,Mahiyyətin formadan üstünlüyü,Neytrallıq,b
190,"Informasiya o zaman münasib hesab olunur ki, .......",izahlı məlumat verir,"o, iqtisadi qərarların qəbul edilməsinə təsir göstərir.",qruplaşmaya şərait yaradır,Doğru cavab yoxdur,fikir ayrılıqları yaratmır,b
191,"Mövcud və potensial investorlar, borcverənlər və sair kreditorlar hesabat verən təşkilatdan informasiyanın bilavasitə onlara təqdim edilməsini tələb edə bilərlərmi",Bəli,Qanunauyğunsuzluk aşkar olduqda,Xeyr,Müəyyən hallarda bəli,Doğru cavab yoxdur,c
192,MHBS Fondunun tərkibinə aşağıdakı orqanlar daxil deyil,Maliyyə Hesabatlılığının Beynəlxalq Standartları Şurası,Maliyyə Hesabatlılığının Beynəlxalq Standartları üzrə Məsləhət Şurası,Doğru cavab yoxdur,Maliyyə Hesabatlılığının Beynəlxalq Standartlarının Şərhləri üzrə Komitə,Maliyyə hesabatlarının Listinq Şurası,e
193,"Qərb ölkələrində, xüsusilə də ABŞ və İngiltərədə təşəkkül tapmış maliyyə uçotu və hesabatı sistemi necə adlandırılır",CİCA,GAAP,İAS,İFRS,AİCRA,b
194,MHSB Şurasına üzvlər neçə il müddətinə seçilir,9,10,7,3,5,e
195,MHBS Şurasının tərkibi neçə nəfərdən ibarətdir,22,7,20,18,14,e
196,MHBS Fondunun qəyyumçuları neçə nəfərdən ibarətdir,17,11,25,33,22,e
197,Maliyyə Hesabatının Beynəlxalq Standarları   Fondu  neçənci ildə yaradılıb,2007,2009,2003,2005,2001,e
198,"Avadanlığın ilkin dəyəri 50.000 manat, köhnə avadanlığın sökülmə məsrəfi 10.000 manatdır. MVHH üçün cəmi dəyəri hesablayın",40000,50000,20000,60000,30000,d
199,"Nərminin kassa kitabının nəğd pul vəsaitləri sütununda hal­hazırda olaraq, 5.000$ məbləğində debet qalığı qeyd olunub. İxtisasca həkim olan Nərmin, mühasibat biliyinə sahib olmadığına görə, bu yazılışı anlaya bilmir. Onun mühasibi kimi bu yazılışı ona necə izah edərdiniz?",Nərmin kiməsə 5.000$ məbləğində ödəniş etməlidir.,Doğru variant qeyd olunmayıb,Bu səhv olaraq yazılmışdır: bank hesabı sütununda 5.000$ məbləğində kredit qalığı ol­ malıdır.,Həmin vaxt üzrə Nərminin kassasında 5.000$ məbləğində pul vəsaiti vardır,"Bu səhv olaraq yazılmışdır: bu cür yüksək məbləğ nəğd pul vəsaitləri sütununa deyil, bank hesabı sütununa köçürülməlidir",d
200,aktivlərin və ya öhdəliklərin mövcud statusunun və onlarla bağlı ehtimal edilən gələcək iqtisadi səmərə və öhdəliklərin qiymətləndirilməsi nəticəsində aktivin və ya öhdəliyin balans dəyərinin və ya aktivin dövri istehlak məbləğinin düzəldilməsidir.,İzahlı qeyd dəyişiklikləri,stabil subsidiyalar,Royalti dəyişiklikləri,Uçot qiymətləndirmələrində dəyişikliklər,ivident dəyişiklikləri,d
201,"maliyyə hesabatlarının hazırlanması və təqdim edilməsi zamanı müəssisə tərəfindən tətbiq edilən konkret prinsiplər, əsaslar, şərtlər və qaydalardır",divident siyasəti,statitik siyəsət,royalti siyasəti,uçot siyasəti,izahlı qeydlər,d
202,Əgər müəssisə hesabat dövründən sonra kapital alətlərinin sahiblərinə dividendləri açıqlayırsa o zaman müəssisə həmin dividendləri hesabat dövrünün sonunda,xərc kimi tanımalıdır,kapital kimi tanımalıdır,gəlir kimi tanımalıdır,öhdəlik kimi tanımalıdır,aktiv kimi tanımalıdır,d
203,"Əsasən təftiş formasında, hesabat işçilərinin sənədlərinin yoxlanılması yolu ilə aparılan nəzarət hansı nəzarətdir?",cari nəzarət,qabaqcadan nəzarət,itefadə ücün nazərət,operativ nəzarət,sonrakı nəzarət,e
204,Uçot prosesində və maliyyə­təsərrüfat fəaliyyətinin təhlilində aparılan nəzarət hansı nəzarətdir,qabaqcadan nəzarət,ehtiyatlı nəzarət,operativ nəzarət,cari nəzarət,sonrakı nəzarət,d
205,Qabaqcadan nəzarət kim tərəfindən aparılır,müəssisənin fəhlələri tərəfindən,gözətci tərəfindən,bölmə rəhbəri tərəfindən,müəssisə rəhbərləri tərəfindən,sex rəisləri tərəfindən,d
206,Sənədləşmə müəssisənin idarə edilməsində hansı nəzarət üçün geniş istifadə olunur,"qabaqcadan, cari və sonrakı nəzarət üçün",qabaqcadan nəzarət üçün,cari və ilkin nəzarət üçün,ilkin nəzarət üçün,sonrakı nəzarət üçün,a
207,Eyni tipli sənədlərin blanklarına bir cür ölçünün verilməsi nə adlanır,sənədlərin unifikasiyası,sənəd dövriyyəsi,elastik sənədlər,ilkin müşahidə,sənədlərin standartlaşdırılması,e
208,Mühasibat uçotunda təsərrüfat prosesləri zamanı baş verən əməliyyatlar üzərində müşahidə aparmaq üçün əsas üsul nədir?,mühasibat sənədləri,ikili yazılış,mühasibat maddələri,inventarlaşma,analitik təhlil,a
209,Nə zaman sənədlərin tərtibinə başlanılır,ilkin sorğu aparıldıqdan sonra,ilkin eksperiment aparıldıqdan sonra,statistik analizdən sonra,ilkin yazılış aparıldıqdan sonra,ilkin müşahidə aparıldıqdan sonra,e
210,Anbarda olan hazır məhsulların uçotu qaydası uçotda belə aparılır,yerinə yetirilən işlər və göstərilən xidmətlər,bitməmiş istehsalat,əsas vəsaitlər,qeyri­maddi aktivlər,material­istehsalat ehtiyyatları,e
211,Maliyyə qoyuluşlarının xüsusi mənbələrinə aiddir,Hazırki dövrdə sərbəst olan məqsədli maliyyələşmə vəsaitləri,Bankın uzunmüddətli kreditləri,Nizamnamə kapitalı,Mənfəət,Gələcək xərclər və ödəmələr üçün ehtiyat,d
212,Hansı amillər istehsalın həcminə təsir göstərir,"əmək məhsuldarlığının dəyişməsi, fəhlələrin sayının dəyişməsi fəhlələ­rin sayının dəyişməsi, məhsulun əməktutumun dəyişməsi","ayrı­ayrı məhsula tələbin dəyişməsi, bazarın konyunkturasının dəyiş¬mə¬si, iqtisadi və siyasi şəraitin dəyişməsi","məhsulun materialtutumunun dəyişməsi, məhsulun maya dəyərinin dəyişməsi, material xərclərin dəyişməsi","məhsul çeşidinin dəyişməsi, məhsulun keyfiyyətin dəyişməsi, məhsula tələbin dəyişməsi",hesabat dövrünün əvvəlinə və sonuna anbarda hazır məhsul qalıqlarının dəyişməsi,e
213,Aşağıdakı hadisələrdən hansına əsasən maliyyə hesabatlarında açıqlama verilməlidir?,Maliyyə hesabatlarına düzəliş edilməsini tələb edən hadisələr,tərtibdən asılıdır,Maliyyə hesabatlarına düzəliş edilməsini tələb etməyən əhəmiyyətli sayılmayan hadisələr,Yuxarıdakıların hamısı,Maliyyə hesabatlarına düzəliş edilməsini tələb etməyən əhəmiyyətli hadisələr,e
214,Mühasibat hesabatının əsas elementi kimi hansı hesabat əsas element hesab edilir,Pul vəsaitlərinin hərəkəti haqda hesabat,"Mühasibat balansı, mənfəət və zərər haqda hesabat",Kapitalın dəyişməsi haqda hesabat və pul vəsaitinin hərəkəti haqda hesabat,Mənfəət və zərər haqda hesabat,Mühasibat balansı və pul vəsaitlərinin hərəkəti haqda hesabat,b
215,"Avadanlığın ilkin dəyəri 150.000 manat, köhnə avadanlığın sökülmə məsrəfi 40.000 manatdır. MVHH üçün cəmi dəyəri hesablayın",55000,100000,110000,95000,190000,e
216,"Əgər yeni aktiv köhnəni əvəz edirsə, həmin köhnə aktivin sökülməsi (kənarlaşdırılması) ilə bağlı olan məsrəflər",Nəzərə alınmamalı,statistik məlumata əsaslanmalıdır,İlkin dəyərə daxil edilməli,İlkin dəyərə daxil edilməməli,,c
217,"Avandanlığın ilkin dəyəri 115.000, nəqliyyat məsrəfləri 5.000 və quraşdırma xərcləri 10.000 manat təşkil edir.  MVHH üçün cəmi dəyəri hesablayın",105000,120000,100000,130000,110000,d
218,"Avandanlığın ilkin dəyəri 55.000, nəqliyyat məsrəfləri 25.000 və quraşdırma xərcləri 8.000 manat təşkil edir.  MVHH üçün cəmi dəyəri hesablayın",30000,22000,88000,25000,47000,c
219,"Avandanlığın ilkin dəyəri 165.000, nəqliyyat məsrəfləri 65.000 və quraşdırma xərcləri 50.000 manat təşkil edir.  MVHH üçün cəmi dəyəri hesablayın",115000,215000,50000,100000,280000,e
220,"Avandanlığın ilkin dəyəri 125.000, nəqliyyat məsrəfləri 4.000 və quraşdırma xərcləri 3.000 manat təşkil edir.  MVHH üçün cəmi dəyəri hesablayın",122000,118000,121000,132000,128000,d
221,"Avandanlığın ilkin dəyəri 35.000, nəqliyyat məsrəfləri 15.000 və quraşdırma xərcləri 5.000 manat təşkil edir.  MVHH üçün cəmi dəyəri hesablayın",25000,45000,40000,35000,55000,e
222,"Avandanlığın ilkin dəyəri 65.000, nəqliyyat məsrəfləri 5.000 və quraşdırma xərcləri 10.000 manat təşkil edir.  MVHH üçün cəmi dəyəri hesablayın",70000,65000,60000,50000,80000,e
223,Xalis pul aktivləri nədir,balansın aktivinin pul və qeyri pul maddələrinin fərqi,pul vəsaitləri və pul öhdəlikləri məbləqlərinin fərqi,balansın pul və qeyri pul maddələrinin cəmi,balansın pul və qeyri pul maddələrinin cəmi,balansın passivinin pul və qeyri pul maddələrinin fərqi,b
224,Ödəniş tələbnaməsinin qismən ödənilməsi əməliyyatı mühasibat uçotu hesablarında nə zaman əks etdirilir?,Hesablaşma hesabında pul vəsaiti olduğu zaman,Düzgün cavab yoxdu,Ödəniş tələbnaməsi banka daxil olduqca,Hesabdan pul vəsaitləri silindikcə,Yalnız sonuncu ödəniş edildikdən sonra,d
225,Gəlir mühasibat uçotunda pul ifadəsində hesablanmış aşağıdakı məbləğdə əks etdirilir,"pul vəsaitlərinin, mübadilə müqaviləsi şərtləri əsasında öz əmlakının verilməsi üzrə öhdəliklər yerinə yetirilmədən daxil olan əmlakın, qiymətli kağızların məbləğində",düzgün cavab yoxdur,"pul vəsaitləri, əmlak məbləğində","pul vəsaitləri, qiymətli kağızların nominal dəyəri, investorların qoyuluşları məbləğində","pul vəsaitləri, əmlak, debitor borcları",e
226,Aşağıdakılardan hansı səhvdir,Nəğd pul vəsaitlərilə həyata keçirilən əməliyyatlar kifayət qədər böyük əməliyyat­ lar hesab olunur və qeydiyyat üçün ayrıca hesabat kitabı tələb edir.,NPKK nəğd pul vəsaitlərilə həyata keçirilmiş bütün əməliyyatların qeydiyyatını aparmaq üçün tərtib olunur.,NPKK kiçik məbləğli ödənişləri fərqləndirmək məqsədilə tərtib edilir,NPKK­nın mövcudluğu bu vəsaitlərin idarəsi üzrə təyin edilən kassirin fiziki pul kütləsinə nəzarətini təmin edir.,,a
227,"Tahirin magistral yolun kənarında yerləşən bir restoranı vardır. O, müştəriləri günün 24 saatı qəbul etdiyinə görə əlində olan nəğd pul vəsaitini öz bank hesabına hər gün bankın bağlanmasına yaxın, saat 5­də qoyur. Dünən o, bank hesabına 3.120 $ məbləğində nəğd pul köçürmüşdür. Tahir bu əməliyyatı kassa kitabında necə qeyd etməlidir?",Debet nəğd pul vəsaiti; Kredit bank,Debet nəğd pul vəsaiti; Kredit nəğd pul vəsaiti,Debet bank; Kredit nəğd pul vəsaiti,Debet bank; Kredit bank,,c
228,"Əldə edilən endirim ..... sayıldığı üçün, həmişə ..... hesabına yazılır",Gəlir – debit,Doğru variant yoxdur,Xərc – debit,Xərc – kredit,Gəlir – kredit,e
229,"Təklif edilən endirim ..... sayıldığı üçün, həmişə ....... hesabına yazılır",Gəlir – kredit,Xərc – kredit,Gəlir – debit,Xərc – debit,Doğru cavab yoxdur,d
230,Gözlənilən lakin ödənilməyən icarə haqqı ödənişi kassa kıtabında qeyd edilirmi,Bəli,Məbləğ 1000 manatdan çoxdursa edilir,Mühasib şərtlərə uyğun qərar verməlidir,Məbləğ 1000 manatdan azdırsa edilir,Xeyr,e
231,Kassa kitabı,İlkin qeydiyyat kitabıdır,Ledcer sisteminin bir hissəsidir,Məxaric hissəsi pul vəsaitinə kredit yazılışı,Mədaxil hissəsi pul vəsaitinə debet yazılışı,Hammısı,e
232,MHBS tərəfindən kommersiya müəssisələri üçün müəyyən olunmuş mühasibat uçotunun aparılması və maliyyə hesabatının tərtib olunması qaydaları aid edilir,İctimai fondlara,İctimai əhəmiyyətli qurumlara,Büdcə təşkilatlarına,Kommersiya müəssisələri və ictimai əhəmiyyətli qurumlara,Kommersiya müəssisə və təşkilatlarına,e
233,Kapitalın tərkibinə daxildir,Gözlənilən ödəmələr üçün ehtiyatlar,Təsisçilərdən alınan uzunmüddətli borclar,Nizamnamə kapitalı,"Nizamnamə kapitalı, bölüşdürülməmiş mənfəət",Bölüşdürülməmiş mənfəət,d
234,Öhdəliklər tanınarkən aşağıdakı kriteriyalara əməl edilməlidir,Öhdəliyin ödənilməsi məbləği etibarlı şəkildə müəyyən oluna bilər,"Ehtimal olunur ki, cari öhdəliklərin ödənilməsi nəticəsində iqtisadi fayda gətirən resursların axıb getməsi baş verəcəkdir",Tanınma ödənilməli olan öhdəliyin yalnız etibarlı şəkildə ölçülməsini tələb edir,Cari öhdəliklərin ödənilməsi nəticəsində iqtisadi fayda gətirən resursların axıb getməsi və öhdəliyin ödənilməsi məbləğinin etibarlı şəkildə müəyyən olunması mütləq deyildir,"Ehtimal olunur ki, cari öhdəliklərin ödənilməsi nəticəsində iqtisadi fayda gətirən resursların axıb getməsi baş verəcəkdir və öhdəliyin ödənilməsi məbləği etibarlı şəkildə müəyyən oluna bilər",e
235,Hesabatın hər hansı bir maddəsinin əhəmiyyətliliyini müəyyən etmək üçün mühasib aşağıdakı göstəricilərdən hansı ilə onu müqayisə etməyə bilər,Məcmu öhdəliklər,Debitor borcu,Xalis mənfəət,işçilərin ümumi sayı,Məcmu aktivlər,d
236,Mənfəət və zərərlər haqqında hesabatda nə əks olunur,"Hesabat dövrünə aktivlərin, öhdəliklərin və xüsusi kapitalın vəziyyəti",Müəyyən dövr ərzində xüsusi kapitaldakı dəyişikliklər,"Müəyyən dövr ərzində aktivlərdəki, öhdəliklərdəki və xüsusi kapitaldakı dəyişikliklər",Müəyyən dövr ərzindəki gəlirlər və xərclər,"Hesabat dövrünə xərclər, dividendlər və xüsusi kapitalın vəziyyəti",d
237,Maliyyə qoyuluşları hansı məqsədlər üçün həyata keçirilir,Xeyriyyə və vergi ödənişlərinin azaldılması üçün,Düzgün cavab yoxdur,Xeyriyyə,"Müəyyən sabit gəlirin əldə olunması, investisiya qoyulan obyektin təsərrüfat fəaliyyətinə nəzarət edilməsi və investisiyalar üzrə vergi güzəşti əldə etmək üçün",Müəyyən sabit gəlir əldə olunması və vergi ödənişlərinin azaldılması üçün,d
238,Maliyyə qoyuluşlarının mənbəyi aşağıdakılardır,Xüsusi vəsaitlər və büdcə maliyyələşmələri,Düzgün cavab yoxdur,"Nizamnamə kapitalı, mənfəət və büdcə maliyyələşmələri","Xüsusi vəsaitlər, müvəqqət cəlb olunmuş vəsaitlər və nizamnamə kapitalı","Xüsusi vəsaitlər, məqsədli maliyyələşmələr və daxilolmalar",d
239,Müəssisənin maliyyə nəticələri haqqında informasiyaları uçotda formalaşdıran əsas elementlər hansılardır,sair xərclər,"aktivlər, passivlər, öhdəlik, kapital","aktivlər, öhdəlik, kapital","gəlirlər, xərclər","aktivlər,gəlirlər, xərclər",d
240,Mühasibat hesabatında hansı əlavə informasiyalar qeydə alınır,xarici valyuta ilə hesablar,dövriyyə vedomostları,inflyasiya metodlari,debitorların siyahısı,ilkin sənədlər,d
241,İllik mühasibat hesabatının təqdim olunma müddəti belədir,növbəti ilin aprel ayının 1­dək,növbəti ilin iyun ayının 1­ dək,120 gün ərzində,90 gün ərzində,il başa çatandan sonra 60 gün ərzində,d
242,Balansın aktiv və passivinin balanslaşdırma göstəriciləri qismində çıxış edir,Əsas vəsaitlər,Maliyyə nəticələri (mənfəət yaxud zərər),Qeyri­maddi aktivlər.,Kreditor borcları;,Debitor borcları;,b
243,Aşağıdakı maddələrdən hansı balansın passivinin “Qısamüddətli öhdəliklər” adlı üçüncü bölməsində öz əksini tapmır,müqavilə üzrə başa çatmamış tikinti işləri,sair qısamüddətli öhdəliklər,qısamüddətli pensiya öhdəliyi,faiz xərcləri yaradan sair qısamüddətli öhdəliklər,əmək ödənişi üzrə heyətə olan borc,a
244,Aşağıdakı maddələrdən hansı balansın passivinin “Qısamüddətli öhdəliklər” adlı üçüncü bölməsində öz əksini tapmır,əmək ödənişi üzrə heyətə olan borc,sair qısamüddətli öhdəliklər,hesabat dövrünün xalis mənfəəti (zəruri),faiz xərcləri yaradan sair qısamüddətli öhdəliklər,qısamüddətli pensiya öhdəliyi,c
245,Aşağıdakı maddələrdən hansı balansın passivinin “Qısamüddətli öhdəliklər” adlı üçüncü bölməsində öz əksini tapmır,sair qısamüddətli öhdəliklər,faiz xərcləri yaradan sair qısamüddətli öhdəliklər,əmək ödənişi üzrə heyətə olan borc,mənfəət vürgisi üzrə təxirə salınmış vergi öhdəlikləri,qısamüddətli pensiya öhdəliyi,d
246,İcmal mühasibat hesabatı aşağıdakı hallarda tərtib olunmaya bilər,Baş təşkilatın baş mühasibinin müvafiq qərarı olduqda,Qrupun investorlarının müvafiq qərarı qəbul edildikdə,Qarşılıqlı əlaqədə olan müəssisələr qrupuna baş təşkilatla yanaşı övlad cəmiyyətlər də daxil edildikdə,Baş təşkilatın rəhbərliyinin müvafiq qərarı qəbul edildikdə,Qarşılıqlı əlaqədə olan müəssisələr qrupuna baş təşkilatla yanaşı yalnız asılı cəmiyyətlər daxil edildikdə,e
247,Asılı cəmiyyət üzrə icmal konsolidə edilən mühasibat hesabatına aşağıdakı göstərici daxil edilir,Cəmiyyətin maliyyə nəticələrində azlıqların payı,Baş təşkilatın iştirakının qiymətləndirilməsi,Asılı cəmiyyətin zərərlərində azlıqların payı,Vergi öhdəlikləri,Cəmiyyətin kapitlaında azlıqların payı,b
248,Övlad şirkətin uçot siyasəti baş təşkilatın uçot siyasətindən fərqləndiyi halda konsolidə edilmiş hesabat tərtib olunduğu zaman:,Belə övlad şirkətin hesabatı ayrıca tərtib olunur,Baş şirkətin maliyyə hesabatında düzəliş aparılır,Övlad şirkətin maliyyə hesabatında düzəliş aparılır,"Ya övlad şirkətin maliyyə hesabatında, ya da baş təşkilatın maliyyə hesabatında düzəliş aparılır",dioqanal,c
